88,00:06:39.954,00:06:44.810,"[u'mani', u'word', 'occur', u'rare', 'see', 'lot', 'small', u'number']"
89,00:06:44.810,00:06:48.419,"[u'therefor', 'use', 'fewer', u'bit', 'small']"
90,00:06:48.419,00:06:53.855,"[u'highli', 'frequent', u'integ']"
91,00:06:53.855,00:06:57.095,"['cost', u'use', u'bit', 'larger', u'integ']"
92,00:06:58.445,00:07:00.005,"[u'thi', 'trade', u'cours']"
93,00:07:00.005,00:07:05.712,"['If', u'valu', u'distribut', 'uniform', 'save', 'us', 'space']"
94,00:07:05.712,00:07:10.824,"['tend', 'see', u'mani', 'small', u'valu', 'frequent']"
95,00:07:10.824,00:07:15.769,"['We', 'save', u'averag', 'even', 'though', u'sometim', 'see', u'larg', 'number']"
96,00:07:15.769,00:07:17.740,"['use', 'lot', u'bit']"
97,00:07:19.750,00:07:23.700,"['what', 'document', u'id', 'also', 'saw', u'post']"
98,00:07:23.700,00:07:27.240,"['well', u'distribut', u'skew', 'way']"
99,00:07:27.240,00:07:31.840,"['So', 'deal']"
100,00:07:31.840,00:07:35.488,"['well', u'turn', 'use', 'trick', u'call', 'gap']"
101,00:07:35.488,00:07:38.686,"['store', u'differ', 'term', u'id']"
102,00:07:38.686,00:07:43.495,"['and', u'imagin', 'term', u'match', u'mani', u'document']"
103,00:07:43.495,00:07:46.640,"['longest', 'document', u'id']"
104,00:07:46.640,00:07:52.030,"['So', 'take', 'gap', 'take', u'differ', u'adjac', 'document', u'id']"
105,00:07:52.030,00:07:54.340,"[u'gap', 'small']"
106,00:07:54.340,00:07:57.594,"['So', 'see', 'lot', 'small', u'number']"
107,00:07:57.594,00:08:00.217,"[u'wherea', 'term', u'occur', u'document']"
108,00:08:00.217,00:08:04.300,"['gap', 'would', u'larg', u'larg', u'number', 'would', 'frequent']"
109,00:08:04.300,00:08:06.610,"['So', u'creat', u'skew', u'distribut']"
110,00:08:06.610,00:08:10.669,"['would', 'allow', 'us', u'compress', u'valu']"
111,00:08:11.850,00:08:15.621,"[u'thi', 'also', u'possibl', 'order', u'uncov']"
112,00:08:15.621,00:08:21.249,"[u'uncompress', 'document', u'id', u'sequenti', u'process', 'data']"
113,00:08:21.249,00:08:25.484,"[u'becaus', u'store', u'differ', 'order', u'recov', 'exact']"
114,00:08:25.484,00:08:29.574,"['document', 'ID', 'first', u'recov', u'previou', 'document', 'ID']"
